"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate","prop_males","attractant","phero_lure"
"C","PpoCombo","4",345,"Kettleman","Alm","No",63,51,2018-05-04,2018-04-27,0.80952380952381,"PPO","Pheromone lure"
"C","PpoCombo","5",352,"Kettleman","Alm","No",86,71,2018-05-04,2018-04-27,0.825581395348837,"PPO","Pheromone lure"
"C","PpoCombo","6",362,"Kettleman","Alm","No",78,68,2018-05-04,2018-04-27,0.871794871794872,"PPO","Pheromone lure"
"C","PpoCombo","7",375,"Kettleman","Alm","No",50,43,2018-05-04,2018-04-27,0.86,"PPO","Pheromone lure"
"C","PpoCombo","8",384,"Kettleman","Alm","No",81,72,2018-05-04,2018-04-27,0.888888888888889,"PPO","Pheromone lure"
"C","PpoCombo","1",314,"Kettleman","Alm","No",79,70,2018-05-16,2018-05-04,0.886075949367089,"PPO","Pheromone lure"
"C","PpoCombo","2",321,"Kettleman","Alm","No",68,60,2018-05-16,2018-05-04,0.882352941176471,"PPO","Pheromone lure"
"C","PpoCombo","3",335,"Kettleman","Alm","No",104,82,2018-05-16,2018-05-04,0.788461538461538,"PPO","Pheromone lure"
"C","PpoCombo","4",345,"Kettleman","Alm","No",79,70,2018-05-16,2018-05-04,0.886075949367089,"PPO","Pheromone lure"
"C","PpoCombo","5",352,"Kettleman","Alm","No",81,74,2018-05-16,2018-05-04,0.91358024691358,"PPO","Pheromone lure"
"C","PpoCombo","6",362,"Kettleman","Alm","No",46,40,2018-05-16,2018-05-04,0.869565217391304,"PPO","Pheromone lure"
"C","PpoCombo","7",375,"Kettleman","Alm","No",79,70,2018-05-16,2018-05-04,0.886075949367089,"PPO","Pheromone lure"
"C","PpoCombo","8",384,"Kettleman","Alm","No",121,102,2018-05-16,2018-05-04,0.84297520661157,"PPO","Pheromone lure"
"C","PpoCombo","1",314,"Kettleman","Alm","No",31,17,2018-05-25,2018-05-16,0.548387096774194,"PPO","Pheromone lure"
"C","PpoCombo","2",321,"Kettleman","Alm","No",37,23,2018-05-25,2018-05-16,0.621621621621622,"PPO","Pheromone lure"
"C","PpoCombo","3",335,"Kettleman","Alm","No",46,23,2018-05-25,2018-05-16,0.5,"PPO","Pheromone lure"
"C","PpoCombo","4",345,"Kettleman","Alm","No",46,28,2018-05-25,2018-05-16,0.608695652173913,"PPO","Pheromone lure"
"C","PpoCombo","5",352,"Kettleman","Alm","No",21,17,2018-05-25,2018-05-16,0.80952380952381,"PPO","Pheromone lure"
"C","PpoCombo","6",362,"Kettleman","Alm","No",19,15,2018-05-25,2018-05-16,0.789473684210526,"PPO","Pheromone lure"
"C","PpoCombo","7",375,"Kettleman","Alm","No",32,21,2018-05-25,2018-05-16,0.65625,"PPO","Pheromone lure"
"C","PpoCombo","8",384,"Kettleman","Alm","No",69,47,2018-05-25,2018-05-16,0.681159420289855,"PPO","Pheromone lure"
"C","PpoCombo","1",314,"Kettleman","Alm","No",11,9,2018-05-29,2018-05-25,0.818181818181818,"PPO","Pheromone lure"
"C","PpoCombo","2",321,"Kettleman","Alm","No",4,3,2018-05-29,2018-05-25,0.75,"PPO","Pheromone lure"
"C","PpoCombo","3",335,"Kettleman","Alm","No",15,13,2018-05-29,2018-05-25,0.866666666666667,"PPO","Pheromone lure"
"C","PpoCombo","4",345,"Kettleman","Alm","No",10,7,2018-05-29,2018-05-25,0.7,"PPO","Pheromone lure"
"C","PpoCombo","5",352,"Kettleman","Alm","No",3,2,2018-05-29,2018-05-25,0.666666666666667,"PPO","Pheromone lure"
"C","PpoCombo","6",362,"Kettleman","Alm","No",5,3,2018-05-29,2018-05-25,0.6,"PPO","Pheromone lure"
"C","PpoCombo","7",375,"Kettleman","Alm","No",3,2,2018-05-29,2018-05-25,0.666666666666667,"PPO","Pheromone lure"
"C","PpoCombo","8",384,"Kettleman","Alm","No",13,9,2018-05-29,2018-05-25,0.692307692307692,"PPO","Pheromone lure"
"C","PpoCombo","1",413,"Kettleman","Pis","No",9,6,2018-04-13,2018-04-06,0.666666666666667,"PPO","Pheromone lure"
"C","PpoCombo","2",421,"Kettleman","Pis","No",15,15,2018-04-13,2018-04-06,1,"PPO","Pheromone lure"
"C","PpoCombo","3",433,"Kettleman","Pis","No",6,6,2018-04-13,2018-04-06,1,"PPO","Pheromone lure"
"C","PpoCombo","4",441,"Kettleman","Pis","No",14,14,2018-04-13,2018-04-06,1,"PPO","Pheromone lure"
"C","PpoCombo","5",454,"Kettleman","Pis","No",9,7,2018-04-13,2018-04-06,0.777777777777778,"PPO","Pheromone lure"
"C","PpoCombo","6",461,"Kettleman","Pis","No",16,14,2018-04-13,2018-04-06,0.875,"PPO","Pheromone lure"
"C","PpoCombo","7",473,"Kettleman","Pis","No",17,15,2018-04-13,2018-04-06,0.882352941176471,"PPO","Pheromone lure"
"C","PpoCombo","8",485,"Kettleman","Pis","No",25,23,2018-04-13,2018-04-06,0.92,"PPO","Pheromone lure"
"C","PpoCombo","1",413,"Kettleman","Pis","No",13,13,2018-04-27,2018-04-13,1,"PPO","Pheromone lure"
"C","PpoCombo","2",421,"Kettleman","Pis","No",24,24,2018-04-27,2018-04-13,1,"PPO","Pheromone lure"
"C","PpoCombo","3",433,"Kettleman","Pis","No",26,24,2018-04-27,2018-04-13,0.923076923076923,"PPO","Pheromone lure"
"C","PpoCombo","4",441,"Kettleman","Pis","No",15,13,2018-04-27,2018-04-13,0.866666666666667,"PPO","Pheromone lure"
"C","PpoCombo","5",454,"Kettleman","Pis","No",22,18,2018-04-27,2018-04-13,0.818181818181818,"PPO","Pheromone lure"
"C","PpoCombo","6",461,"Kettleman","Pis","No",27,27,2018-04-27,2018-04-13,1,"PPO","Pheromone lure"
"C","PpoCombo","7",473,"Kettleman","Pis","No",28,21,2018-04-27,2018-04-13,0.75,"PPO","Pheromone lure"
"C","PpoCombo","8",485,"Kettleman","Pis","No",40,34,2018-04-27,2018-04-13,0.85,"PPO","Pheromone lure"
"C","PpoCombo","1",413,"Kettleman","Pis","No",12,11,2018-05-07,2018-04-27,0.916666666666667,"PPO","Pheromone lure"
"C","PpoCombo","2",421,"Kettleman","Pis","No",14,13,2018-05-07,2018-04-27,0.928571428571429,"PPO","Pheromone lure"
"C","PpoCombo","3",433,"Kettleman","Pis","No",24,22,2018-05-07,2018-04-27,0.916666666666667,"PPO","Pheromone lure"
